Catalog,CourseId,Title,Description,LongDescription,Categories,Tags,Skills
Safety Training,bc73d0c4-b397-4ce5-a190-8f7ba1dfefa7,Permit-Required Confined Spaces,"Confined spaces present unique and serious hazards that require specific safety measures to protect anyone entering them. Whether it’s a tank, manhole, or pit, these spaces are not designed for continuous occupancy and can pose significant risks, such as hazardous atmospheres, engulfment, or other critical dangers.","<p data-pm-slice=""1 1 []"">Confined spaces present unique and serious hazards that require specific safety measures to protect anyone entering them. Whether it’s a tank, manhole, or pit, these spaces are not designed for continuous occupancy and can pose significant risks, such as hazardous atmospheres, engulfment, or other critical dangers. To safeguard employees, it is crucial to understand the difference between a confined space and a Permit-Required Confined Space (PRCS). A PRCS typically has life-threatening hazards like toxic gases, or potential for entrapment, and requires strict safety protocols under OSHA regulations. With proper training, careful oversight, and a robust permit system, we can ensure every confined space entry is performed safely and in compliance with regulatory standards.</p>",Hazard Awareness; Safety Procedure,Reporting; Safety; Hazards; Communication; OSHA,
Safety Training,9f2eaded-62c0-427a-a3a9-8fd41542067d,Qualified Person - Arc Flash Personal Protective Equipment,"This course provides an overview of arc flash hazard awareness and PPE selection in accordance with the 2024 NFPA 70E and GSL’s Electrical Safety Program. Learners will review incident energy labeling, and proper use of 8 cal/cm² and 40 cal/cm² arc flash kits to ensure safe and compliant energized work practices.","<p data-end=""410"" data-start=""0"">This course provides detailed training on arc flash hazards, incident energy labeling, and the proper selection and use of arc flash personal protective equipment (PPE) in accordance with the <strong data-end=""209"" data-start=""192"">2024 NFPA 70E</strong> and <strong data-end=""249"" data-start=""214"">GSL’s Electrical Safety Program</strong>. The course is designed for employees who may plan, supervise, or perform work on or near energized electrical equipment where arc flash hazards may be present.</p>
<p data-end=""861"" data-start=""412"">Learners will gain an understanding of how incident energy is calculated and displayed on equipment labels, how working distance affects exposure, and how this information is used to determine PPE requirements. The training explains GSL’s use of the <strong data-end=""692"" data-start=""662"">NFPA 70E simplified method</strong> for arc flash PPE selection, including when to use an <strong data-end=""774"" data-start=""747"">8 cal/cm² arc flash kit</strong> and when a <strong data-end=""814"" data-start=""786"">40 cal/cm² arc flash kit</strong> is required based on incident energy exposure.</p>
<p data-end=""1416"" data-start=""863"">The course also addresses critical limitations related to high incident energy levels. Participants will learn that when equipment labels indicate incident energy exposures <strong data-end=""1060"" data-start=""1036"">exceeding 40 cal/cm²</strong>, equipment covers must not be removed, and the circuit must be de-energized and controlled using Lockout/Tagout procedures before work can proceed. Additional topics include PPE inspection requirements, proper care, storage, and maintenance of arc-rated clothing, and the responsibilities of employees to follow established boundaries and safety controls.</p>
<p data-is-only-node="""" data-is-last-node="""" data-end=""1737"" data-start=""1418"">By the end of this course, learners will be able to interpret arc flash equipment labels, select appropriate PPE, recognize when energized work is prohibited, and apply GSL’s Electrical Safety Program requirements to reduce the risk of arc flash and electrical shock injuries while maintaining compliance with NFPA 70E.</p>",Qualified Person,Safety; Arc Flash; PPE; NFPA 70E,
Safety Training,78553020-d9d9-4970-bfaf-937ca29b66b9,Safety Coordinator - 6.0 Project Planning & Identifying Hazards,"This course explains how proper planning, hazard assessments, and jobsite permits work together to keep crews safe and projects compliant. You’ll learn the importance of pre-task planning, identifying and controlling hazards, and using permits and checklists to ensure every task is performed safely and effectively.","<h2 data-end=""194"" data-start=""112""><strong data-end=""192"" data-start=""115"">Project Planning, Hazard Identification &amp; Jobsite Permits</strong></h2>
<p data-end=""520"" data-start=""196"">Performing any job safely and effectively requires careful planning at every level of the organization. This course provides Safety Coordinators, supervisors, and project leaders with the knowledge and tools needed to plan ahead, identify hazards, and use the permit system to protect workers, the public, and the jobsite.</p>
<h3 data-end=""549"" data-start=""522""><strong data-end=""547"" data-start=""526"">What You’ll Learn</strong></h3>
<ul data-end=""1654"" data-start=""550"">
<li data-end=""744"" data-start=""550"">
<p data-end=""744"" data-start=""552""><strong data-end=""583"" data-start=""552"">The Importance of Planning:</strong> How corporate, project, and supervisory planning ensures the right manpower, training, materials, tools, and safety measures are available before work begins.</p>
</li>
<li data-end=""916"" data-start=""745"">
<p data-end=""916"" data-start=""747""><strong data-end=""779"" data-start=""747"">Supervisor Responsibilities:</strong> Why supervisors must plan two to five days ahead, hold daily toolbox meetings, and organize resources and assignments for their crews.</p>
</li>
<li data-end=""1096"" data-start=""917"">
<p data-end=""1096"" data-start=""919""><strong data-end=""945"" data-start=""919"">Hazard Identification:</strong> How to use the TRACK system and documented risk assessments to identify, rank, and control hazards, and why these must be reviewed by all employees.</p>
</li>
<li data-end=""1253"" data-start=""1097"">
<p data-end=""1253"" data-start=""1099""><strong data-end=""1132"" data-start=""1099"">Jobsite Permits &amp; Checklists:</strong> The role of permits in ensuring work is performed safely, hazards are controlled, and regulatory requirements are met.</p>
</li>
<li data-end=""1473"" data-start=""1254"">
<p data-end=""1473"" data-start=""1256""><strong data-end=""1277"" data-start=""1256"">Types of Permits:</strong> A review of key permits and forms including Burn Permits, Confined Space Entry Permits, Energized Work Permits, Excavation Checklists, Lockout/Tagout documentation, Safe Work Permits, and more.</p>
</li>
<li data-end=""1654"" data-start=""1474"">
<p data-end=""1654"" data-start=""1476""><strong data-end=""1507"" data-start=""1476"">Accountability &amp; Approvals:</strong> Why project leadership must complete permits, Safety Coordinators must review and sign them, and client approvals are required in certain cases.</p>
</li>
</ul>
<h3 data-end=""1680"" data-start=""1656""><strong data-end=""1678"" data-start=""1660"">Why It Matters</strong></h3>
<p data-end=""2061"" data-start=""1681"">Permits and hazard assessments are not just paperwork—they are safeguards that save lives. They confirm that hazards have been identified, the right safety controls are in place, and all responsibilities are documented. By following the planning and permit process, crews work more efficiently, supervisors ensure compliance, and everyone goes home safely at the end of the day.</p>",Hazard Awareness; Safety; Safety Coordinator; Safety Planning,Forecasting; Risk Assessment; Safety; Planning; Hazards; Safety Coordinator,
Safety Training,81b224db-8e05-4ba9-8635-944ed475dd12,OSHA’s Focus Four Workplace Hazards ,"The OSHA Focus Four Hazards—falls, struck-by incidents, caught-in/between hazards, and electrocutions—are responsible for the majority of construction-related fatalities. These dangers highlight the need for rigorous safety training, proper use of personal protective equipment (PPE), and strict adherence to safety protocols.

To mitigate these risks, construction companies must prioritize safety planning, regular inspections, and ongoing training programs. Workers must also remain vigilant and actively participate in maintaining a culture of safety to protect themselves and their coworkers on the job site.","<div data-block-id=""cmen6jtes004b357g5k1u657f"">
<div data-block-text="""" data-block-id=""cmen6jtes004b357g5k1u657f"">
<div translate=""no"" role=""textbox"" contenteditable=""true"" tabindex=""0"">
<p><br>This course focused on OSHA's Focus Four Hazards, which are the leading causes of fatalities in the construction industry. It emphasized the importance of recognizing, preventing, and addressing these hazards through safety measures and shared responsibility.</p>
<ul>
<li><strong>Understand the Focus Four Hazards</strong>. Recognizing falls, struck-by incidents, caught-in/between hazards, and electrocutions is essential for workplace safety.</li>
<li><strong>Implement safety protocols</strong>. Use proper equipment, techniques, and OSHA-compliant measures to mitigate risks.</li>
<li><strong>Use personal protective equipment</strong>. Wearing appropriate PPE like harnesses and high-visibility vests minimizes injury risks.</li>
<li><strong>Conduct regular inspections</strong>. Checking safety equipment and work areas ensures a safe environment.</li>
<li><strong>Encourage a safety culture</strong>. Empower workers to prioritize safety and report unsafe conditions.</li>
<li><strong>Stay informed about hazards</strong>. Learn from real-life examples and statistics to understand risks and prevention strategies.</li>
<li><strong>Communicate effectively</strong>. Maintain clear communication to address safety concerns and prevent accidents.</li>
</ul>
<div data-block-id=""cmen6jtes004d357gfse2b4jw"">
<div>
<div>
<div>
<div></div>
<div></div>
</div>
</div>
</div>
</div>
<div data-block-id=""cmen6jtes004e357gtubp8r2s"">
<div>
<div>
<div>
<div>By applying these safety principles, you can help create a safer work environment and reduce the risk of workplace injuries and fatalities.</div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",Electrical Safety; Hazard Awareness,,
Safety Training,c80cc58f-9701-45f0-a9a5-9622a355b29b,How to navigate Learn365,"In this course, we'll give you an overview of the key features in the product and how you access courses. Let's explore My Training Dashboard, the Course Catalog page the Course home page and how to navigate learning items.

","<p><strong>Welcome to Learn365</strong></p>
<p>In this course, we'll give you an overview of key features in the product. We'll show how you discover and access courses, navigate learning items, follow your learning progress, and get the most out of your learning journey in Learn365.</p>
<p></p>
<p>The course is designed for learners.</p>
<p></p>
<p><strong>By completing this course you should be able to:</strong></p>
<ol>
<li>Access the Learn365 learning platform through various channels, including Microsoft SharePoint, Microsoft Teams, and the mobile app.</li>
<li>Discover and complete training in the system. </li>
<li>Follow your learning progress.</li>
</ol>
<p></p>
<p>Enjoy your learning journey with Learn365. </p>
<p></p>",Learn365 Navigation; Learn365,,
Safety Training,3a52b59a-4510-4521-ab8c-964f8fa95a0a,New Hire Safety Orientation,Safety in the workplace is of utmost importance at our organization. Accidents and injuries in the workplace affect thousands of workers every year and have a serious impact on business.,"<p data-pm-slice=""1 1 []"">Safety in the workplace is of utmost importance at our organization. Accidents and injuries in the workplace affect thousands of workers every year and have a serious impact on business.</p>
<p></p>
<p>Following simple techniques and using common sense goes a long way toward preventing accidents and workplace injuries.  This course will teach you the basics you need to know to prevent a workplace injury. Familiarize yourself with the following content and complete the brief assessment.</p>",Safety Culture; Policy,Safety,
Safety Training,9e8fcc39-5cfe-413f-aff1-97b5e311300e,Types Of Chemical Hazards,"In this lesson, we will explore the various types of chemical hazards. Understanding these hazards is crucial for ensuring safety in environments where chemicals are used or stored.

Identify different chemical hazard types. Each type poses unique risks that require specific safety protocols.","<p data-pm-slice=""1 1 []"">This course focused on understanding chemical hazards, their classifications, associated risks, and the importance of safety protocols in environments where chemicals are present.</p>
<ol>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Recognize various chemical hazards</strong>. Identifying types helps in assessing associated risks.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Implement tailored safety protocols</strong>. Each hazard type requires specific measures to ensure safety.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Prioritize safety in chemical environments</strong>. Awareness and vigilance are key to preventing accidents.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Stay informed about chemical risks</strong>. Continuous education enhances workplace safety and preparedness.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Ensure proper labeling of chemicals</strong>. Clear labels aid in hazard identification and safe handling.</p>
</li>
</ol>
<p data-pm-slice=""1 1 []"">By applying these principles, you can create a safer environment when working with or around chemicals</p>",Hazard Awareness; Hazard Communication; Safety Procedure,Safety; Hazards; OSHA,
Safety Training,86a557c2-9088-4ecf-b596-a502a7a43a0f,Safety Coordinator - 10.0 Injury & Case Management,"This course explains GSL Electric’s Injury and Case Management Policy and the steps to follow when an injury occurs on the job. You’ll learn how to provide proper first aid, follow emergency action principles, report incidents within required timelines, and ensure injured employees receive appropriate medical care. The training emphasizes consistent reporting, effective case management, and return-to-work practices that protect employee health, meet regulatory requirements, and prevent future injuries.","<h2 data-end=""206"" data-start=""157""><strong data-end=""204"" data-start=""160"">Injury &amp; Case Management</strong></h2>
<p data-end=""612"" data-start=""208"">At GSL Electric, accident prevention is our highest priority, but when an injury does occur, it must be handled quickly, consistently, and in compliance with safety regulations. This course provides Foremen, Safety Coordinators, and employees with the knowledge and procedures necessary to properly respond to injuries, deliver first aid, and manage cases from initial treatment through return-to-work.</p>
<h3 data-end=""641"" data-start=""614""><strong data-end=""639"" data-start=""618"">What You’ll Learn</strong></h3>
<ul data-end=""1941"" data-start=""642"">
<li data-end=""825"" data-start=""642"">
<p data-end=""825"" data-start=""644""><strong data-end=""677"" data-start=""644"">First Aid &amp; Emergency Action:</strong> How to stay calm, assess the scene, check responsiveness and breathing, control bleeding, and protect yourself while assisting injured employees.</p>
</li>
<li data-end=""1026"" data-start=""826"">
<p data-end=""1026"" data-start=""828""><strong data-end=""861"" data-start=""828"">Life-Threatening Emergencies:</strong> Recognizing when to request trained medical professionals for conditions such as unconsciousness, severe bleeding, electrical shock, or suspected spinal injuries.</p>
</li>
<li data-end=""1212"" data-start=""1027"">
<p data-end=""1212"" data-start=""1029""><strong data-end=""1062"" data-start=""1029"">Incident Response Procedures:</strong> Following site-specific emergency communication plans, securing the scene, and reporting injuries according to company and regulatory requirements.</p>
</li>
<li data-end=""1367"" data-start=""1213"">
<p data-end=""1367"" data-start=""1215""><strong data-end=""1234"" data-start=""1215"">Minor Injuries:</strong> Providing proper first aid, submitting notifications, completing reports, and ensuring the injury does not worsen during recovery.</p>
</li>
<li data-end=""1562"" data-start=""1368"">
<p data-end=""1562"" data-start=""1370""><strong data-end=""1391"" data-start=""1370"">Serious Injuries:</strong> Coordinating immediate care, transporting employees to approved medical facilities, and ensuring a Foreman or Safety Coordinator interfaces with the treating physician.</p>
</li>
<li data-end=""1752"" data-start=""1563"">
<p data-end=""1752"" data-start=""1565""><strong data-end=""1591"" data-start=""1565"">Return-to-Work Policy:</strong> Working with medical professionals to support full-duty return when possible or assigning light-duty work as needed to reduce lost time and support recovery.</p>
</li>
<li data-end=""1941"" data-start=""1753"">
<p data-end=""1941"" data-start=""1755""><strong data-end=""1791"" data-start=""1755"">Case Management &amp; Documentation:</strong> Submitting injury reports to the Safety Director within 24 hours, maintaining up-to-date records, and ensuring consistent handling of all injuries.</p>
</li>
</ul>
<h3 data-end=""1967"" data-start=""1943""><strong data-end=""1965"" data-start=""1947"">Why It Matters</strong></h3>
<p data-end=""2504"" data-start=""1968"">Timely and accurate injury management protects the health and well-being of employees while reducing risks and liabilities for the company. By documenting injuries properly, coordinating medical care, and reinforcing return-to-work practices, GSL Electric ensures compliance with OSHA requirements, consistency across all projects, and a safer workplace for everyone. Most importantly, proper case management supports our commitment to “Zero Broken Lives” by making sure every employee gets the care they need and returns home safely.</p>",Safety Culture; Safety; Safety Coordinator; Safety Procedure,First Aid; Action; Injury & Case Management; Safety Culture,
Safety Training,b375a377-ba30-4c27-9078-aad558408e74,Supported Scaffolding Safety in Industrial and Construction Environments,"This lesson will delve into the construction of supported scaffolds, the associated hazards, the regulations designed to mitigate these risks, and the safety procedures employees should follow. ","<p data-pm-slice=""1 1 []"">Every day, millions of workers use different types of scaffolds to safely perform their tasks at heights. One of the most commonly used scaffolds is the supported scaffold, held up by a framework of support beams, which provides a secure platform for workers to walk, work, and store tools and materials. However, scaffolds can also be hazardous, and each year thousands of workers are injured, with over 50 fatalities often resulting from falls. This lesson will delve into the construction of supported scaffolds, the associated hazards, the regulations designed to mitigate these risks, and the safety procedures employees should follow. </p>","Slips, Trips, & Falls; Hazard Awareness",Scaffolding; Safety; OSHA,
Safety Training,6bdf9624-ba3f-47e8-8686-b0a8995987e2,Safety Coordinator - 6.0 Project Planning & Identifying Hazards,"This course explains how proper planning, hazard assessments, and jobsite permits work together to keep crews safe and projects compliant. You’ll learn the importance of pre-task planning, identifying and controlling hazards, and using permits and checklists to ensure every task is performed safely and effectively.","<h2 data-end=""194"" data-start=""112""><strong data-end=""192"" data-start=""115"">Project Planning, Hazard Identification &amp; Jobsite Permits</strong></h2>
<p data-end=""520"" data-start=""196"">Performing any job safely and effectively requires careful planning at every level of the organization. This course provides Safety Coordinators, supervisors, and project leaders with the knowledge and tools needed to plan ahead, identify hazards, and use the permit system to protect workers, the public, and the jobsite.</p>
<h3 data-end=""549"" data-start=""522""><strong data-end=""547"" data-start=""526"">What You’ll Learn</strong></h3>
<ul data-end=""1654"" data-start=""550"">
<li data-end=""744"" data-start=""550"">
<p data-end=""744"" data-start=""552""><strong data-end=""583"" data-start=""552"">The Importance of Planning:</strong> How corporate, project, and supervisory planning ensures the right manpower, training, materials, tools, and safety measures are available before work begins.</p>
</li>
<li data-end=""916"" data-start=""745"">
<p data-end=""916"" data-start=""747""><strong data-end=""779"" data-start=""747"">Supervisor Responsibilities:</strong> Why supervisors must plan two to five days ahead, hold daily toolbox meetings, and organize resources and assignments for their crews.</p>
</li>
<li data-end=""1096"" data-start=""917"">
<p data-end=""1096"" data-start=""919""><strong data-end=""945"" data-start=""919"">Hazard Identification:</strong> How to use the TRACK system and documented risk assessments to identify, rank, and control hazards, and why these must be reviewed by all employees.</p>
</li>
<li data-end=""1253"" data-start=""1097"">
<p data-end=""1253"" data-start=""1099""><strong data-end=""1132"" data-start=""1099"">Jobsite Permits &amp; Checklists:</strong> The role of permits in ensuring work is performed safely, hazards are controlled, and regulatory requirements are met.</p>
</li>
<li data-end=""1473"" data-start=""1254"">
<p data-end=""1473"" data-start=""1256""><strong data-end=""1277"" data-start=""1256"">Types of Permits:</strong> A review of key permits and forms including Burn Permits, Confined Space Entry Permits, Energized Work Permits, Excavation Checklists, Lockout/Tagout documentation, Safe Work Permits, and more.</p>
</li>
<li data-end=""1654"" data-start=""1474"">
<p data-end=""1654"" data-start=""1476""><strong data-end=""1507"" data-start=""1476"">Accountability &amp; Approvals:</strong> Why project leadership must complete permits, Safety Coordinators must review and sign them, and client approvals are required in certain cases.</p>
</li>
</ul>
<h3 data-end=""1680"" data-start=""1656""><strong data-end=""1678"" data-start=""1660"">Why It Matters</strong></h3>
<p data-end=""2061"" data-start=""1681"">Permits and hazard assessments are not just paperwork—they are safeguards that save lives. They confirm that hazards have been identified, the right safety controls are in place, and all responsibilities are documented. By following the planning and permit process, crews work more efficiently, supervisors ensure compliance, and everyone goes home safely at the end of the day.</p>",Hazard Awareness; Safety; Safety Coordinator; Safety Planning,Forecasting; Risk Assessment; Safety; Planning; Hazards; Safety Coordinator,
Safety Training,959c3836-0528-4757-856c-b1ecca0b1063,Lockout Tagout Procedures - Return To Service Procedures,"This lesson emphasizes the critical procedures for safely energizing electrical equipment and circuits, highlighting the importance of compliance with NFPA 70E standards and the company's electrical safety program.","<p data-pm-slice=""1 1 []"">This lesson emphasizes the critical procedures for safely energizing electrical equipment and circuits, highlighting the importance of compliance with NFPA 70E standards and the company's electrical safety program. Here are the key steps:</p>
<ol>
<li>
<p><strong>Verify job completion</strong>. Ensure that all tasks are finished before energizing systems.</p>
</li>
<li>
<p><strong>Inspect the work area</strong>. Remove all tools and materials to prevent accidents.</p>
</li>
<li>
<p><strong>Remove grounding devices</strong>. Take away any grounding equipment before restoring power.</p>
</li>
<li>
<p><strong>Notify personnel</strong>. Communicate clearly about the restoration of electrical supply to maintain safety.</p>
</li>
<li>
<p><strong>Conduct quality control checks</strong>. Verify that all safety measures are in place for a safe startup process.</p>
</li>
</ol>
<p>Following these procedures will help ensure a safe and efficient startup process.</p>",,Quality Check; Inspection; Energize; Return to Service,
Safety Training,dd70710f-bda8-4373-9d59-b5a3b4aa1429,Safely Accessing a Scaffold,"This lesson focuses on essential practices for safely accessing a scaffold, emphasizing the importance of proper training, equipment checks, and adherence to safety protocols.","<p data-pm-slice=""1 1 []"">This lesson focuses on essential practices for safely accessing a scaffold, emphasizing the importance of proper training, equipment checks, and adherence to safety protocols.</p>
<ol>
<li>
<p><strong>Understand the risks</strong>. Recognizing potential hazards is crucial for safety.</p>
</li>
<li>
<p><strong>Use proper equipment</strong>. Always ensure that ladders and harnesses are in good condition.</p>
</li>
<li>
<p><strong>Follow safety protocols</strong>. Adhering to established guidelines minimizes the chance of accidents.</p>
</li>
<li>
<p><strong>Seek training</strong>. Regular training sessions enhance skills and awareness regarding scaffold safety.</p>
</li>
</ol>
<p>By following these practices, you can significantly reduce the risk of accidents while working on scaffolds.</p>",,Scaffolding; Safety,
Safety Training,f352c97d-aaf2-4e07-bc1a-b891d4b69709,Supported Scaffolds and OSHA Regulations,This lesson highlights the critical role of supported scaffolds in construction and the OSHA regulations designed to ensure safety,"<p data-pm-slice=""1 1 []"">Studies have shown, falling from a building from as few as three stories up carries a 50% mortality rate. This fact illustrates the absolute need for construction workers who work on scaffolds to strictly follow safety measures at all times. In addition, because of the hazardous nature of the job, it is essential an experienced supervisor also be onsite at all times when a scaffold is in use.</p>
<p></p>
<p>This lesson highlights the critical role of supported scaffolds in construction and the OSHA regulations designed to ensure safety. It stressed the importance of proper design, maintenance, and training to prevent accidents and injuries on job sites.</p>
<ol>
<li>
<p><strong>Understand scaffold types</strong>. Familiarize yourself with different supported scaffold systems and their specific uses.</p>
</li>
<li>
<p><strong>Follow OSHA guidelines</strong>. Always adhere to OSHA regulations to maintain a safe working environment.</p>
</li>
<li>
<p><strong>Prioritize training</strong>. Ensure all workers receive proper training on scaffold safety and usage.</p>
</li>
<li>
<p><strong>Regular inspections are essential</strong>. Conduct routine checks to identify and address any potential hazards.</p>
</li>
</ol>
<p>By following these guidelines, you can significantly enhance safety and efficiency on construction sites.</p>","Slips, Trips, & Falls; Safety Procedure",Scaffolding; Safety; OSHA,
Safety Training,6f534cd4-0ebc-4cff-9388-bf4049e924fd,Corrective Counseling and Performance Reviews,"This course trains field leaders to prevent workplace issues, motivate employees, resolve conflict, and apply corrective counseling and progressive discipline with professionalism.","<p>The course provides field leaders with proactive leadership tools, focusing on early intervention, honest feedback, and systematic use of corrective counseling. Participants learn to build strong teams, resolve conflict early, and apply discipline only as a well-managed last resort. The emphasis is on prevention, fairness, and consistent follow-through to achieve high-performing teams. Field leaders are equipped to recognize issues before they escalate and to follow a structured process when formal action is necessary, always balancing support with accountability.</p>",Document Control; Leadership Fundamentals; Performance; Communication; Workforce Management; Feedback; Motivation,Morale; Performance; Evaluations; Field Leadership; GSL Policies; Feedback,
Safety Training,1491890d-7ad2-45d6-8bf3-c2497dc05a56,Engage365 for Managers,"In just 5 minutes, you'll delve into the essential features of Engage365, designed to enhance employee engagement and communication among your team.","<style>
.description-content {
    font-family: Arial, sans-serif;
    background-color: #F3F3FF;
    margin: 0;
    padding: 0;
    max-width: 100%;
    line-height: 170%;
}
.topbar {
    color: #000;
    text-align: left;
    padding: 20px;
}
.logo {
    width: 75px;
    height: 75px; 
    vertical-align: middle;
}
.title {
    display: inline-block;
    font-size: 28px;
    font-weight: bolder;
    vertical-align: middle;
}
.content {
    text-align: left;
    padding: 20px;
}
.content p {
    font-size: 18px;
    line-height: 170%;
    margin: 20px 0;
}
.content img {
    max-width: 100%;
    height: auto;
    border-radius: 20px;
}
.endQuote {
    text-align: center;
    padding: 20px;
}
.endQuote p {
    font-size: 22px;
    line-height: 200%;
    font-weight: bolder;
    margin: 20px 0;
}
.endQuote img {
    max-width: 70px;
}
hr.new {
    border-top: 1px dashed white;
}
</style>
<div class=""description-content"">
<div class=""topbar"">
<div class=""title"">Engage365</div>
</div>
<hr class=""new"">
<div class=""content"">
<p><b>Welcome to our Engage365 for Managers course!</b></p>
<p>In just 5 minutes, you'll delve into the essential features of Engage365, designed to enhance employee engagement and communication among your team.</p>
<p>Whether you're a new Engage365 customer or a Learn365 admin, this course is tailored to help you grasp the core uses of Engage365 in your daily interactions with employees.</p>
<p>By watching a video, reading descriptive content, and taking a quick quiz, you'll uncover the benefits of employee check-ins, master the art of completing a check-in, and discover how this tool can revolutionize communication with your team.</p>
</div>
<div class=""endQuote"">
<p>Get ready to elevate your engagement game with Engage365!</p>
</div>
</div>",Engage365; Engage365 for Managers,,
Safety Training,2683fc35-cf36-4832-b136-c2bc10b07a02,The Written Hazard Communication Plan,The lesson on 'The Written Hazard Communication Plan' emphasizes the importance of a structured approach to communicate hazards in the workplace.,"<p data-pm-slice=""1 1 []"">The lesson on 'The Written Hazard Communication Plan' emphasizes the importance of a structured approach to communicate hazards in the workplace. It covered key components such as identifying hazards, labeling, safety data sheets, and employee training. Here are some key takeaways:</p>
<ol>
<li>
<p><strong>Understand hazards</strong>. Identify potential risks in the workplace to enhance safety.</p>
</li>
<li>
<p><strong>Utilize labels effectively</strong>. Ensure all hazardous materials are clearly labeled for easy recognition.</p>
</li>
<li>
<p><strong>Maintain safety data sheets</strong>. Keep updated sheets accessible for all hazardous substances.</p>
</li>
<li>
<p><strong>Train employees regularly</strong>. Provide ongoing training to ensure all staff are aware of hazards and safety protocols.</p>
</li>
</ol>
<p>Implementing these practices will help ensure a safer and more compliant workplace.</p>",Document Control; Hazard Communication; Safety Procedure,Safety; Planning; Hazards; Communication,
Safety Training,96e37c26-32a0-4472-ad09-cc026f133403,Getting started with Learn365 for admins,Getting started with Learn365 for admins,"<p>Welcome to Learn365 as an administrator!</p>
<p><br>This course will get you started with the foundational knowledge you need in order to set up Learn365 for learning and development in your organization.<br><br>Throughout the eight modules of the course, you'll become familiar with the core functionalities of Learn365.<br><br>After completing the course, you should be able to perform the initial configuration of Learn365 and start to get learning rolled out in your organization.</p>
<p></p>
<p>Additional content will be available to you inside the Zensai Help Center. We recommend to start with the following guides:</p>
<ul>
<li><a data-interception=""off"" href=""https://helpcenter.elearningforce.com/hc/en-us/articles/360019405697-Introduction-to-the-LMS365-solution"" target=""_blank"" title=""https://helpcenter.elearningforce.com/hc/en-us/articles/360019405697-introduction-to-the-lms365-solution"" rel=""noopener"">Introduction to the Learn365 Solution</a></li>
<li><a data-interception=""off"" href=""https://helpcenter.elearningforce.com/hc/en-us/articles/360019681758-Overview-of-the-LMS365-Admin-Center-course-catalog-and-global-settings"" target=""_blank"" title=""https://helpcenter.elearningforce.com/hc/en-us/articles/360019681758-Overview-of-the-LMS365-Admin-Center-course-catalog-and-global-settings"" rel=""noopener"">Overview of the Learn365 Admin Center</a></li>
<li><a data-interception=""off"" href=""https://helpcenter.elearningforce.com/hc/en-us/articles/6045293273373-Setting-up-LMS365"" target=""_blank"" title=""https://helpcenter.elearningforce.com/hc/en-us/articles/6045293273373-Setting-up-LMS365"" rel=""noopener"">Setting up Learn365 </a></li>
</ul>
<p></p>",Learn365 Product Training,Learn365 Admin Training,
